"경북",군위,21,25,20,21,18,14
"경북",성주,25,27,26,27,25,20
"경북",예천,23,25,22,24,21,15
"경북",청도,23,27,23,25,22,17
"경북",청송,18,21,17,20,15,12
"경북",영양,16,22,15,18,14,11
"경북",문경,26,29,23,25,24,18
"경북",도평균,21,23,19,22,21,16
"경남",창원,16,18,17,19,20,15
"경남",진주,13*,17,16,18,17,14*
"경남",하동,14,15,13,19,18,14
"경남",김해,18,20,17,19,19,15
"경남",양산,20,21,17,21,21,17
"경남",거제,14,16**,15*,16,18,13
"경남",사천,14,16*,15,17,17,13
"경남",밀양,22,24,20,23,21,16
"경남",통영,11,16,15,16,18,13
"경남",고성,13,17,19,21,21,15
"경남",거창,26,22,19,20,20,14
"경남",함안,21,24,22,25,23,17
"경남",함양,17,19,20,22,24,15
"경남",남해,14,17,17,19,19,15
"경남",산청,15,16,17,18,18,14
"경남",의령,15,18,16,18,15,13
"경남",창녕,22,23,21,23,20,16
"경남",합천,15,17,16,18,17,14
"경남",도평균,17,19,17,19,19,15
"제주",제주,14,15,14,18,24,14
"제주",서귀포,12,13,13,16,23,14
"제주",도평균,13,14,14,17,23,14
